Energy Usage Information
"For location: CA RED FEATHER CT APPLE VALLEY 92307"

Meter Reading Information
"Type of readings: Electricity"

Summary of Electric Power Usage Information*
"Your download will contain interval usage data that is currently available for your selected Service Account. Based on how our systems process and categorize usage data, your download may contain usage data of the following types: actual, estimated, validated or missing. "

Detailed Usage
"Start date: 2021-10-21 23:00:00  for 15 days"

"Data for period starting: 2021-10-22 00:00:00  for 24 hours"
Energy  Delivered time period,Usage Delivered(Real energy in kilowatt-hours)(Real energy in kilowatt-hours),Reading quality
"2021-10-27 13:45:00 to 2021-10-27 14:00:00","1.370",""
"2021-10-27 14:00:00 to 2021-10-27 14:15:00","1.370",""
"2021-10-27 14:15:00 to 2021-10-27 14:30:00","1.360",""
"2021-10-27 14:30:00 to 2021-10-27 14:45:00","1.370",""
"2021-10-27 14:45:00 to 2021-10-27 15:00:00","1.300",""
"2021-10-27 15:00:00 to 2021-10-27 15:15:00","1.290",""
"2021-10-27 15:15:00 to 2021-10-27 15:30:00","1.260",""
"2021-10-27 15:30:00 to 2021-10-27 15:45:00","1.230",""
"2021-10-27 15:45:00 to 2021-10-27 16:00:00","1.120",""
"2021-10-27 16:00:00 to 2021-10-27 16:15:00","1.020",""
"2021-10-27 16:15:00 to 2021-10-27 16:30:00","0.970",""
"2021-10-27 16:30:00 to 2021-10-27 16:45:00","0.880",""
"2021-10-27 16:45:00 to 2021-10-27 17:00:00","0.770",""
"2021-10-27 17:00:00 to 2021-10-27 17:15:00","0.640",""
"2021-10-27 17:15:00 to 2021-10-27 17:30:00","0.430",""
"2021-10-27 17:30:00 to 2021-10-27 17:45:00","0.270",""
"2021-10-27 17:45:00 to 2021-10-27 18:00:00","0.030",""
"2021-10-27 18:00:00 to 2021-10-27 18:15:00","0.000",""
"2021-10-27 18:15:00 to 2021-10-27 18:30:00","0.000",""
"2021-10-27 18:30:00 to 2021-10-27 18:45:00","0.000",""
"2021-10-27 18:45:00 to 2021-10-27 19:00:00","0.000",""
"2021-10-27 19:00:00 to 2021-10-27 19:15:00","0.000",""
"2021-10-27 19:15:00 to 2021-10-27 19:30:00","0.000",""
"2021-10-27 19:30:00 to 2021-10-27 19:45:00","0.000",""
"2021-10-27 19:45:00 to 2021-10-27 20:00:00","0.000",""
"2021-10-27 20:00:00 to 2021-10-27 20:15:00","0.000",""
"2021-10-27 20:15:00 to 2021-10-27 20:30:00","0.000",""
"2021-10-27 20:30:00 to 2021-10-27 20:45:00","0.000",""
"2021-10-27 20:45:00 to 2021-10-27 21:00:00","0.000",""
"2021-10-27 21:00:00 to 2021-10-27 21:15:00","0.000",""
"2021-10-27 21:15:00 to 2021-10-27 21:30:00","0.000",""
"2021-10-27 21:30:00 to 2021-10-27 21:45:00","0.000",""
"2021-10-27 21:45:00 to 2021-10-27 22:00:00","0.000",""
"2021-10-27 22:00:00 to 2021-10-27 22:15:00","0.000",""
"2021-10-27 22:15:00 to 2021-10-27 22:30:00","0.000",""
"2021-10-27 22:30:00 to 2021-10-27 22:45:00","0.000",""
"2021-10-27 22:45:00 to 2021-10-27 23:00:00","0.000",""
"2021-10-27 23:00:00 to 2021-10-27 23:15:00","0.000",""
"2021-10-27 23:15:00 to 2021-10-27 23:30:00","0.000",""
"2021-10-27 23:30:00 to 2021-10-27 23:45:00","0.000",""
"2021-10-27 23:45:00 to 2021-10-28 00:00:00","0.000",""

"Data for period starting: 2021-10-28 00:00:00  for 24 hours"
Energy  Delivered time period,Usage Delivered(Real energy in kilowatt-hours)(Real energy in kilowatt-hours),Reading quality
"2021-10-28 00:00:00 to 2021-10-28 00:15:00","0.140",""
"2021-10-28 00:15:00 to 2021-10-28 00:30:00","0.140",""
"2021-10-28 00:30:00 to 2021-10-28 00:45:00","0.150",""
"2021-10-28 00:45:00 to 2021-10-28 01:00:00","0.130",""
"2021-10-28 01:00:00 to 2021-10-28 01:15:00","0.150",""
"2021-10-28 01:15:00 to 2021-10-28 01:30:00","0.140",""
"2021-10-28 01:30:00 to 2021-10-28 01:45:00","0.120",""
"2021-10-28 01:45:00 to 2021-10-28 02:00:00","0.100",""
"2021-10-28 02:00:00 to 2021-10-28 02:15:00","0.090",""
"2021-10-28 02:15:00 to 2021-10-28 02:30:00","0.130",""
"2021-10-28 02:30:00 to 2021-10-28 02:45:00","0.110",""
"2021-10-28 02:45:00 to 2021-10-28 03:00:00","0.130",""
"2021-10-28 03:00:00 to 2021-10-28 03:15:00","0.130",""
"2021-10-28 03:15:00 to 2021-10-28 03:30:00","0.130",""
"2021-10-28 03:30:00 to 2021-10-28 03:45:00","0.130",""
"2021-10-28 03:45:00 to 2021-10-28 04:00:00","0.130",""
"2021-10-28 04:00:00 to 2021-10-28 04:15:00","0.120",""
"2021-10-28 04:15:00 to 2021-10-28 04:30:00","0.100",""
"2021-10-28 04:30:00 to 2021-10-28 04:45:00","0.120",""
"2021-10-28 04:45:00 to 2021-10-28 05:00:00","0.130",""
"2021-10-28 05:00:00 to 2021-10-28 05:15:00","0.130",""
"2021-10-28 05:15:00 to 2021-10-28 05:30:00","0.140",""
"2021-10-28 05:30:00 to 2021-10-28 05:45:00","0.230",""
"2021-10-28 05:45:00 to 2021-10-28 06:00:00","0.220",""
"2021-10-28 06:00:00 to 2021-10-28 06:15:00","0.220",""
"2021-10-28 06:15:00 to 2021-10-28 06:30:00","0.240",""
"2021-10-28 06:30:00 to 2021-10-28 06:45:00","0.250",""
"2021-10-28 06:45:00 to 2021-10-28 07:00:00","0.300",""
"2021-10-28 07:00:00 to 2021-10-28 07:15:00","0.260",""
"2021-10-28 07:15:00 to 2021-10-28 07:30:00","0.240",""
"2021-10-28 07:30:00 to 2021-10-28 07:45:00","0.250",""
"2021-10-28 07:45:00 to 2021-10-28 08:00:00","0.220",""
"2021-10-28 08:00:00 to 2021-10-28 08:15:00","0.240",""
"2021-10-28 08:15:00 to 2021-10-28 08:30:00","0.270",""
"2021-10-28 08:30:00 to 2021-10-28 08:45:00","0.220",""
"2021-10-28 08:45:00 to 2021-10-28 09:00:00","0.170",""
"2021-10-28 09:00:00 to 2021-10-28 09:15:00","0.190",""
"2021-10-28 09:15:00 to 2021-10-28 09:30:00","0.150",""
"2021-10-28 09:30:00 to 2021-10-28 09:45:00","0.120",""
"2021-10-28 09:45:00 to 2021-10-28 10:00:00","0.040",""
"2021-10-28 10:00:00 to 2021-10-28 10:15:00","0.000",""
"2021-10-28 10:15:00 to 2021-10-28 10:30:00","0.000",""
"2021-10-28 10:30:00 to 2021-10-28 10:45:00","0.030",""
"2021-10-28 10:45:00 to 2021-10-28 11:00:00","0.040",""
"2021-10-28 11:00:00 to 2021-10-28 11:15:00","0.000",""
"2021-10-28 11:15:00 to 2021-10-28 11:30:00","0.000",""
"2021-10-28 11:30:00 to 2021-10-28 11:45:00","0.000",""
"2021-10-28 11:45:00 to 2021-10-28 12:00:00","0.000",""
"2021-10-28 12:00:00 to 2021-10-28 12:15:00","0.000",""
"2021-10-28 12:15:00 to 2021-10-28 12:30:00","0.000",""
"2021-10-28 12:30:00 to 2021-10-28 12:45:00","0.000",""
"2021-10-28 12:45:00 to 2021-10-28 13:00:00","0.000",""
"2021-10-28 13:00:00 to 2021-10-28 13:15:00","0.000",""
"2021-10-28 13:15:00 to 2021-10-28 13:30:00","0.000",""
"2021-10-28 13:30:00 to 2021-10-28 13:45:00","0.000",""
"2021-10-28 13:45:00 to 2021-10-28 14:00:00","0.000",""
"2021-10-28 14:00:00 to 2021-10-28 14:15:00","0.000",""
"2021-10-28 14:15:00 to 2021-10-28 14:30:00","0.000",""
"2021-10-28 14:30:00 to 2021-10-28 14:45:00","0.000",""
"2021-10-28 14:45:00 to 2021-10-28 15:00:00","0.000",""
"2021-10-28 15:00:00 to 2021-10-28 15:15:00","0.000",""
"2021-10-28 15:15:00 to 2021-10-28 15:30:00","0.000",""
"2021-10-28 15:30:00 to 2021-10-28 15:45:00","0.000",""
"2021-10-28 15:45:00 to 2021-10-28 16:00:00","0.000",""
"2021-10-28 16:00:00 to 2021-10-28 16:15:00","0.000",""
"2021-10-28 16:15:00 to 2021-10-28 16:30:00","0.000",""
"2021-10-28 16:30:00 to 2021-10-28 16:45:00","0.000",""
"2021-10-28 16:45:00 to 2021-10-28 17:00:00","0.000",""
"2021-10-28 17:00:00 to 2021-10-28 17:15:00","0.000",""
"2021-10-28 17:15:00 to 2021-10-28 17:30:00","0.060",""
"2021-10-28 17:30:00 to 2021-10-28 17:45:00","0.080",""
"2021-10-28 17:45:00 to 2021-10-28 18:00:00","0.310",""
"2021-10-28 18:00:00 to 2021-10-28 18:15:00","0.350",""
"2021-10-28 18:15:00 to 2021-10-28 18:30:00","0.250",""
"2021-10-28 18:30:00 to 2021-10-28 18:45:00","0.270",""
"2021-10-28 18:45:00 to 2021-10-28 19:00:00","0.250",""
"2021-10-28 19:00:00 to 2021-10-28 19:15:00","0.230",""
"2021-10-28 19:15:00 to 2021-10-28 19:30:00","0.260",""
"2021-10-28 19:30:00 to 2021-10-28 19:45:00","0.290",""
"2021-10-28 19:45:00 to 2021-10-28 20:00:00","0.210",""
"2021-10-28 20:00:00 to 2021-10-28 20:15:00","0.210",""
"2021-10-28 20:15:00 to 2021-10-28 20:30:00","0.220",""
"2021-10-28 20:30:00 to 2021-10-28 20:45:00","0.270",""
"2021-10-28 20:45:00 to 2021-10-28 21:00:00","0.230",""
"2021-10-28 21:00:00 to 2021-10-28 21:15:00","0.220",""
"2021-10-28 21:15:00 to 2021-10-28 21:30:00","0.200",""
"2021-10-28 21:30:00 to 2021-10-28 21:45:00","0.230",""
"2021-10-28 21:45:00 to 2021-10-28 22:00:00","0.180",""
"2021-10-28 22:00:00 to 2021-10-28 22:15:00","0.170",""
"2021-10-28 22:15:00 to 2021-10-28 22:30:00","0.140",""
"2021-10-28 22:30:00 to 2021-10-28 22:45:00","0.190",""
"2021-10-28 22:45:00 to 2021-10-28 23:00:00","0.250",""
"2021-10-28 23:00:00 to 2021-10-28 23:15:00","0.440",""
"2021-10-28 23:15:00 to 2021-10-28 23:30:00","0.250",""
"2021-10-28 23:30:00 to 2021-10-28 23:45:00","0.320",""
"2021-10-28 23:45:00 to 2021-10-29 00:00:00","0.150",""

"Data for period starting: 2021-10-28 00:00:00  for 24 hours"
Energy  Received time period,Usage Received(Real energy in kilowatt-hours)(Real energy in kilowatt-hours),Reading quality
"2021-10-28 00:00:00 to 2021-10-28 00:15:00","0.000",""
"2021-10-28 00:15:00 to 2021-10-28 00:30:00","0.000",""
"2021-10-28 00:30:00 to 2021-10-28 00:45:00","0.000",""
"2021-10-28 00:45:00 to 2021-10-28 01:00:00","0.000",""
"2021-10-28 01:00:00 to 2021-10-28 01:15:00","0.000",""
"2021-10-28 01:15:00 to 2021-10-28 01:30:00","0.000",""
"2021-10-28 01:30:00 to 2021-10-28 01:45:00","0.000",""
"2021-10-28 01:45:00 to 2021-10-28 02:00:00","0.000",""
"2021-10-28 02:00:00 to 2021-10-28 02:15:00","0.000",""
"2021-10-28 02:15:00 to 2021-10-28 02:30:00","0.000",""
"2021-10-28 02:30:00 to 2021-10-28 02:45:00","0.000",""
"2021-10-28 02:45:00 to 2021-10-28 03:00:00","0.000",""
"2021-10-28 03:00:00 to 2021-10-28 03:15:00","0.000",""
"2021-10-28 03:15:00 to 2021-10-28 03:30:00","0.000",""
"2021-10-28 03:30:00 to 2021-10-28 03:45:00","0.000",""
"2021-10-28 03:45:00 to 2021-10-28 04:00:00","0.000",""
"2021-10-28 04:00:00 to 2021-10-28 04:15:00","0.000",""
"2021-10-28 04:15:00 to 2021-10-28 04:30:00","0.000",""
"2021-10-28 04:30:00 to 2021-10-28 04:45:00","0.000",""
"2021-10-28 04:45:00 to 2021-10-28 05:00:00","0.000",""
"2021-10-28 05:00:00 to 2021-10-28 05:15:00","0.000",""
"2021-10-28 05:15:00 to 2021-10-28 05:30:00","0.000",""
"2021-10-28 05:30:00 to 2021-10-28 05:45:00","0.000",""
"2021-10-28 05:45:00 to 2021-10-28 06:00:00","0.000",""
"2021-10-28 06:00:00 to 2021-10-28 06:15:00","0.000",""
"2021-10-28 06:15:00 to 2021-10-28 06:30:00","0.000",""
"2021-10-28 06:30:00 to 2021-10-28 06:45:00","0.000",""
"2021-10-28 06:45:00 to 2021-10-28 07:00:00","0.000",""
"2021-10-28 07:00:00 to 2021-10-28 07:15:00","0.000",""
"2021-10-28 07:15:00 to 2021-10-28 07:30:00","0.000",""
"2021-10-28 07:30:00 to 2021-10-28 07:45:00","0.000",""
"2021-10-28 07:45:00 to 2021-10-28 08:00:00","0.000",""
"2021-10-28 08:00:00 to 2021-10-28 08:15:00","0.000",""
"2021-10-28 08:15:00 to 2021-10-28 08:30:00","0.000",""
"2021-10-28 08:30:00 to 2021-10-28 08:45:00","0.000",""
"2021-10-28 08:45:00 to 2021-10-28 09:00:00","0.000",""
"2021-10-28 09:00:00 to 2021-10-28 09:15:00","0.000",""
"2021-10-28 09:15:00 to 2021-10-28 09:30:00","0.000",""
"2021-10-28 09:30:00 to 2021-10-28 09:45:00","0.000",""
"2021-10-28 09:45:00 to 2021-10-28 10:00:00","0.010",""
"2021-10-28 10:00:00 to 2021-10-28 10:15:00","0.060",""
"2021-10-28 10:15:00 to 2021-10-28 10:30:00","0.220",""
"2021-10-28 10:30:00 to 2021-10-28 10:45:00","0.230",""
"2021-10-28 10:45:00 to 2021-10-28 11:00:00","0.190",""
"2021-10-28 11:00:00 to 2021-10-28 11:15:00","0.480",""
"2021-10-28 11:15:00 to 2021-10-28 11:30:00","0.590",""
"2021-10-28 11:30:00 to 2021-10-28 11:45:00","0.740",""
"2021-10-28 11:45:00 to 2021-10-28 12:00:00","0.850",""
"2021-10-28 12:00:00 to 2021-10-28 12:15:00","0.940",""
"2021-10-28 12:15:00 to 2021-10-28 12:30:00","1.010",""
"2021-10-28 12:30:00 to 2021-10-28 12:45:00","1.080",""
"2021-10-28 12:45:00 to 2021-10-28 13:00:00","1.130",""
"2021-10-28 13:00:00 to 2021-10-28 13:15:00","1.180",""
"2021-10-28 13:15:00 to 2021-10-28 13:30:00","1.220",""
"2021-10-28 13:30:00 to 2021-10-28 13:45:00","1.330",""
"2021-10-28 13:45:00 to 2021-10-28 14:00:00","1.340",""
"2021-10-28 14:00:00 to 2021-10-28 14:15:00","1.350",""
"2021-10-28 14:15:00 to 2021-10-28 14:30:00","1.370",""
"2021-10-28 14:30:00 to 2021-10-28 14:45:00","1.360",""
"2021-10-28 14:45:00 to 2021-10-28 15:00:00","1.350",""
"2021-10-28 15:00:00 to 2021-10-28 15:15:00","1.280",""
"2021-10-28 15:15:00 to 2021-10-28 15:30:00","1.260",""
"2021-10-28 15:30:00 to 2021-10-28 15:45:00","1.220",""
"2021-10-28 15:45:00 to 2021-10-28 16:00:00","1.150",""
"2021-10-28 16:00:00 to 2021-10-28 16:15:00","1.040",""
"2021-10-28 16:15:00 to 2021-10-28 16:30:00","1.010",""
"2021-10-28 16:30:00 to 2021-10-28 16:45:00","0.440",""
"2021-10-28 16:45:00 to 2021-10-28 17:00:00","0.630",""
"2021-10-28 17:00:00 to 2021-10-28 17:15:00","0.460",""
"2021-10-28 17:15:00 to 2021-10-28 17:30:00","0.280",""
"2021-10-28 17:30:00 to 2021-10-28 17:45:00","0.110",""
"2021-10-28 17:45:00 to 2021-10-28 18:00:00","0.000",""
"2021-10-28 18:00:00 to 2021-10-28 18:15:00","0.000",""
"2021-10-28 18:15:00 to 2021-10-28 18:30:00","0.000",""
"2021-10-28 18:30:00 to 2021-10-28 18:45:00","0.000",""
"2021-10-28 18:45:00 to 2021-10-28 19:00:00","0.000",""
"2021-10-28 19:00:00 to 2021-10-28 19:15:00","0.000",""
"2021-10-28 19:15:00 to 2021-10-28 19:30:00","0.000",""
"2021-10-28 19:30:00 to 2021-10-28 19:45:00","0.000",""
"2021-10-28 19:45:00 to 2021-10-28 20:00:00","0.000",""
"2021-10-28 20:00:00 to 2021-10-28 20:15:00","0.000",""
"2021-10-28 20:15:00 to 2021-10-28 20:30:00","0.000",""
"2021-10-28 20:30:00 to 2021-10-28 20:45:00","0.000",""
"2021-10-28 20:45:00 to 2021-10-28 21:00:00","0.000",""
"2021-10-28 21:00:00 to 2021-10-28 21:15:00","0.000",""
"2021-10-28 21:15:00 to 2021-10-28 21:30:00","0.000",""
"2021-10-28 21:30:00 to 2021-10-28 21:45:00","0.000",""
"2021-10-28 21:45:00 to 2021-10-28 22:00:00","0.000",""
"2021-10-28 22:00:00 to 2021-10-28 22:15:00","0.000",""
"2021-10-28 22:15:00 to 2021-10-28 22:30:00","0.000",""
"2021-10-28 22:30:00 to 2021-10-28 22:45:00","0.000",""
"2021-10-28 22:45:00 to 2021-10-28 23:00:00","0.000",""
"2021-10-28 23:00:00 to 2021-10-28 23:15:00","0.000",""
"2021-10-28 23:15:00 to 2021-10-28 23:30:00","0.000",""
"2021-10-28 23:30:00 to 2021-10-28 23:45:00","0.000",""
"2021-10-28 23:45:00 to 2021-10-29 00:00:00","0.000",""

"Data for period starting: 2021-10-29 00:00:00  for 24 hours"
Energy  Delivered time period,Usage Delivered(Real energy in kilowatt-hours)(Real energy in kilowatt-hours),Reading quality
"2021-10-29 00:00:00 to 2021-10-29 00:15:00","0.150",""
"2021-10-29 00:15:00 to 2021-10-29 00:30:00","0.170",""
"2021-10-29 00:30:00 to 2021-10-29 00:45:00","0.210",""
"2021-10-29 00:45:00 to 2021-10-29 01:00:00","0.150",""
"2021-10-29 01:00:00 to 2021-10-29 01:15:00","0.140",""
"2021-10-29 01:15:00 to 2021-10-29 01:30:00","0.160",""
"2021-10-29 01:30:00 to 2021-10-29 01:45:00","0.160",""
"2021-10-29 01:45:00 to 2021-10-29 02:00:00","0.160",""
"2021-10-29 02:00:00 to 2021-10-29 02:15:00","0.160",""
"2021-10-29 02:15:00 to 2021-10-29 02:30:00","0.160",""
"2021-10-29 02:30:00 to 2021-10-29 02:45:00","0.130",""
"2021-10-29 02:45:00 to 2021-10-29 03:00:00","0.110",""
"2021-10-29 03:00:00 to 2021-10-29 03:15:00","0.110",""
"2021-10-29 03:15:00 to 2021-10-29 03:30:00","0.140",""
"2021-10-29 03:30:00 to 2021-10-29 03:45:00","0.140",""
"2021-10-29 03:45:00 to 2021-10-29 04:00:00","0.130",""
"2021-10-29 04:00:00 to 2021-10-29 04:15:00","0.130",""
"2021-10-29 04:15:00 to 2021-10-29 04:30:00","0.120",""
"2021-10-29 04:30:00 to 2021-10-29 04:45:00","0.110",""
"2021-10-29 04:45:00 to 2021-10-29 05:00:00","0.110",""
"2021-10-29 05:00:00 to 2021-10-29 05:15:00","0.140",""
"2021-10-29 05:15:00 to 2021-10-29 05:30:00","0.140",""
"2021-10-29 05:30:00 to 2021-10-29 05:45:00","0.240",""
"2021-10-29 05:45:00 to 2021-10-29 06:00:00","0.260",""
"2021-10-29 06:00:00 to 2021-10-29 06:15:00","0.240",""
"2021-10-29 06:15:00 to 2021-10-29 06:30:00","0.220",""
"2021-10-29 06:30:00 to 2021-10-29 06:45:00","0.260",""
"2021-10-29 06:45:00 to 2021-10-29 07:00:00","0.260",""
"2021-10-29 07:00:00 to 2021-10-29 07:15:00","0.270",""
"2021-10-29 07:15:00 to 2021-10-29 07:30:00","0.260",""
"2021-10-29 07:30:00 to 2021-10-29 07:45:00","0.210",""
"2021-10-29 07:45:00 to 2021-10-29 08:00:00","0.210",""
"2021-10-29 08:00:00 to 2021-10-29 08:15:00","0.210",""
"2021-10-29 08:15:00 to 2021-10-29 08:30:00","0.220",""
"2021-10-29 08:30:00 to 2021-10-29 08:45:00","0.200",""
"2021-10-29 08:45:00 to 2021-10-29 09:00:00","0.170",""
"2021-10-29 09:00:00 to 2021-10-29 09:15:00","0.160",""
"2021-10-29 09:15:00 to 2021-10-29 09:30:00","0.130",""
"2021-10-29 09:30:00 to 2021-10-29 09:45:00","0.100",""
"2021-10-29 09:45:00 to 2021-10-29 10:00:00","0.030",""
"2021-10-29 10:00:00 to 2021-10-29 10:15:00","0.000",""
"2021-10-29 10:15:00 to 2021-10-29 10:30:00","0.000",""
"2021-10-29 10:30:00 to 2021-10-29 10:45:00","0.000",""
"2021-10-29 10:45:00 to 2021-10-29 11:00:00","0.000",""
"2021-10-29 11:00:00 to 2021-10-29 11:15:00","0.000",""
"2021-10-29 11:15:00 to 2021-10-29 11:30:00","0.000",""
"2021-10-29 11:30:00 to 2021-10-29 11:45:00","0.000",""
"2021-10-29 11:45:00 to 2021-10-29 12:00:00","0.000",""
"2021-10-29 12:00:00 to 2021-10-29 12:15:00","0.000",""
"2021-10-29 12:15:00 to 2021-10-29 12:30:00","0.000",""
"2021-10-29 12:30:00 to 2021-10-29 12:45:00","0.000",""
"2021-10-29 12:45:00 to 2021-10-29 13:00:00","0.000",""
"2021-10-29 13:00:00 to 2021-10-29 13:15:00","0.000",""
"2021-10-29 13:15:00 to 2021-10-29 13:30:00","0.000",""
"2021-10-29 13:30:00 to 2021-10-29 13:45:00","0.000",""
"2021-10-29 13:45:00 to 2021-10-29 14:00:00","0.000",""
"2021-10-29 14:00:00 to 2021-10-29 14:15:00","0.000",""
"2021-10-29 14:15:00 to 2021-10-29 14:30:00","0.000",""
"2021-10-29 14:30:00 to 2021-10-29 14:45:00","0.000",""
"2021-10-29 14:45:00 to 2021-10-29 15:00:00","0.000",""
"2021-10-29 15:00:00 to 2021-10-29 15:15:00","0.000",""
"2021-10-29 15:15:00 to 2021-10-29 15:30:00","0.000",""
"2021-10-29 15:30:00 to 2021-10-29 15:45:00","0.000",""
"2021-10-29 15:45:00 to 2021-10-29 16:00:00","0.000",""
"2021-10-29 16:00:00 to 2021-10-29 16:15:00","0.000",""
"2021-10-29 16:15:00 to 2021-10-29 16:30:00","0.000",""
"2021-10-29 16:30:00 to 2021-10-29 16:45:00","0.000",""
"2021-10-29 16:45:00 to 2021-10-29 17:00:00","0.000",""
"2021-10-29 17:00:00 to 2021-10-29 17:15:00","0.000",""
"2021-10-29 17:15:00 to 2021-10-29 17:30:00","0.000",""
"2021-10-29 17:30:00 to 2021-10-29 17:45:00","0.000",""
"2021-10-29 17:45:00 to 2021-10-29 18:00:00","0.080",""
"2021-10-29 18:00:00 to 2021-10-29 18:15:00","0.130",""
"2021-10-29 18:15:00 to 2021-10-29 18:30:00","0.130",""
"2021-10-29 18:30:00 to 2021-10-29 18:45:00","0.120",""
"2021-10-29 18:45:00 to 2021-10-29 19:00:00","0.110",""
"2021-10-29 19:00:00 to 2021-10-29 19:15:00","0.130",""
"2021-10-29 19:15:00 to 2021-10-29 19:30:00","0.080",""
"2021-10-29 19:30:00 to 2021-10-29 19:45:00","0.110",""
"2021-10-29 19:45:00 to 2021-10-29 20:00:00","0.120",""
"2021-10-29 20:00:00 to 2021-10-29 20:15:00","0.120",""
"2021-10-29 20:15:00 to 2021-10-29 20:30:00","0.120",""
"2021-10-29 20:30:00 to 2021-10-29 20:45:00","0.120",""
"2021-10-29 20:45:00 to 2021-10-29 21:00:00","0.120",""
"2021-10-29 21:00:00 to 2021-10-29 21:15:00","0.090",""
"2021-10-29 21:15:00 to 2021-10-29 21:30:00","0.100",""
"2021-10-29 21:30:00 to 2021-10-29 21:45:00","0.110",""
"2021-10-29 21:45:00 to 2021-10-29 22:00:00","0.120",""
"2021-10-29 22:00:00 to 2021-10-29 22:15:00","0.120",""
"2021-10-29 22:15:00 to 2021-10-29 22:30:00","0.120",""
"2021-10-29 22:30:00 to 2021-10-29 22:45:00","0.120",""
"2021-10-29 22:45:00 to 2021-10-29 23:00:00","0.090",""
"2021-10-29 23:00:00 to 2021-10-29 23:15:00","0.100",""
"2021-10-29 23:15:00 to 2021-10-29 23:30:00","0.110",""
"2021-10-29 23:30:00 to 2021-10-29 23:45:00","0.120",""
"2021-10-29 23:45:00 to 2021-10-30 00:00:00","0.120",""

"Data for period starting: 2021-10-29 00:00:00  for 24 hours"
Energy  Received time period,Usage Received(Real energy in kilowatt-hours)(Real energy in kilowatt-hours),Reading quality
"2021-10-29 00:00:00 to 2021-10-29 00:15:00","0.000",""
"2021-10-29 00:15:00 to 2021-10-29 00:30:00","0.000",""
"2021-10-29 00:30:00 to 2021-10-29 00:45:00","0.000",""
"2021-10-29 00:45:00 to 2021-10-29 01:00:00","0.000",""
"2021-10-29 01:00:00 to 2021-10-29 01:15:00","0.000",""
"2021-10-29 01:15:00 to 2021-10-29 01:30:00","0.000",""
"2021-10-29 01:30:00 to 2021-10-29 01:45:00","0.000",""
"2021-10-29 01:45:00 to 2021-10-29 02:00:00","0.000",""
"2021-10-29 02:00:00 to 2021-10-29 02:15:00","0.000",""
"2021-10-29 02:15:00 to 2021-10-29 02:30:00","0.000",""
"2021-10-29 02:30:00 to 2021-10-29 02:45:00","0.000",""
"2021-10-29 02:45:00 to 2021-10-29 03:00:00","0.000",""
"2021-10-29 03:00:00 to 2021-10-29 03:15:00","0.000",""
"2021-10-29 03:15:00 to 2021-10-29 03:30:00","0.000",""
"2021-10-29 03:30:00 to 2021-10-29 03:45:00","0.000",""
"2021-10-29 03:45:00 to 2021-10-29 04:00:00","0.000",""
"2021-10-29 04:00:00 to 2021-10-29 04:15:00","0.000",""
"2021-10-29 04:15:00 to 2021-10-29 04:30:00","0.000",""
"2021-10-29 04:30:00 to 2021-10-29 04:45:00","0.000",""
"2021-10-29 04:45:00 to 2021-10-29 05:00:00","0.000",""
"2021-10-29 05:00:00 to 2021-10-29 05:15:00","0.000",""
"2021-10-29 05:15:00 to 2021-10-29 05:30:00","0.000",""
"2021-10-29 05:30:00 to 2021-10-29 05:45:00","0.000",""
"2021-10-29 05:45:00 to 2021-10-29 06:00:00","0.000",""
"2021-10-29 06:00:00 to 2021-10-29 06:15:00","0.000",""
"2021-10-29 06:15:00 to 2021-10-29 06:30:00","0.000",""
"2021-10-29 06:30:00 to 2021-10-29 06:45:00","0.000",""
"2021-10-29 06:45:00 to 2021-10-29 07:00:00","0.000",""
"2021-10-29 07:00:00 to 2021-10-29 07:15:00","0.000",""
"2021-10-29 07:15:00 to 2021-10-29 07:30:00","0.000",""
"2021-10-29 07:30:00 to 2021-10-29 07:45:00","0.000",""
"2021-10-29 07:45:00 to 2021-10-29 08:00:00","0.000",""
"2021-10-29 08:00:00 to 2021-10-29 08:15:00","0.000",""
"2021-10-29 08:15:00 to 2021-10-29 08:30:00","0.000",""
"2021-10-29 08:30:00 to 2021-10-29 08:45:00","0.000",""
"2021-10-29 08:45:00 to 2021-10-29 09:00:00","0.000",""
"2021-10-29 09:00:00 to 2021-10-29 09:15:00","0.000",""
"2021-10-29 09:15:00 to 2021-10-29 09:30:00","0.000",""
"2021-10-29 09:30:00 to 2021-10-29 09:45:00","0.000",""
"2021-10-29 09:45:00 to 2021-10-29 10:00:00","0.000",""
"2021-10-29 10:00:00 to 2021-10-29 10:15:00","0.080",""
"2021-10-29 10:15:00 to 2021-10-29 10:30:00","0.210",""
"2021-10-29 10:30:00 to 2021-10-29 10:45:00","0.340",""
"2021-10-29 10:45:00 to 2021-10-29 11:00:00","0.420",""
"2021-10-29 11:00:00 to 2021-10-29 11:15:00","0.500",""
"2021-10-29 11:15:00 to 2021-10-29 11:30:00","0.570",""
"2021-10-29 11:30:00 to 2021-10-29 11:45:00","0.720",""
"2021-10-29 11:45:00 to 2021-10-29 12:00:00","0.830",""
"2021-10-29 12:00:00 to 2021-10-29 12:15:00","0.920",""
"2021-10-29 12:15:00 to 2021-10-29 12:30:00","1.000",""
"2021-10-29 12:30:00 to 2021-10-29 12:45:00","1.070",""
"2021-10-29 12:45:00 to 2021-10-29 13:00:00","1.100",""
"2021-10-29 13:00:00 to 2021-10-29 13:15:00","1.140",""
